iter	MultiClass
0	1.020800193
1	0.9568662196
2	0.9065909077
3	0.849920332
4	0.8025791644
5	0.7556111302
6	0.7033072524
7	0.6638773111
8	0.6243635061
9	0.5931584203
10	0.5604686507
11	0.5357549792
12	0.5104725363
13	0.4849145355
14	0.4591264749
15	0.4396656651
16	0.4187459228
17	0.4030896635
18	0.3867090051
19	0.3705369589
20	0.3556441911
21	0.3405253771
22	0.326291548
23	0.313418904
24	0.3008281569
25	0.2890052845
26	0.2792765143
27	0.269125539
28	0.2599828425
29	0.2507115066
30	0.2417185139
31	0.2325104773
32	0.2240057248
33	0.2169700754
34	0.2082232092
35	0.2015088425
36	0.1953944342
37	0.1888095679
38	0.1821397875
39	0.1761346302
40	0.1705622923
41	0.1648232654
42	0.1600105147
43	0.1548315494
44	0.1504224539
45	0.1458410619
46	0.1418306469
47	0.1371243314
48	0.1335883085
49	0.129756084
50	0.1261419175
51	0.1228395288
52	0.1199682803
53	0.1169721151
54	0.1138349772
55	0.1102375411
56	0.1079845649
57	0.1055283102
58	0.1029503722
59	0.1002884396
60	0.09830929752
61	0.09602403439
62	0.09384547934
63	0.09183784727
64	0.08936294622
65	0.08761585866
66	0.08562093065
67	0.08374996249
68	0.08216217447
69	0.08036352803
70	0.07805165012
71	0.07611921219
72	0.07480794743
73	0.07345239471
74	0.07180694068
75	0.07070287549
76	0.06914777927
77	0.06764975863
78	0.06639490223
79	0.06524505191
80	0.06417482906
81	0.06285244698
82	0.0617850885
83	0.06079315477
84	0.05941759876
85	0.05857618899
86	0.05749989312
87	0.05657864596
88	0.05549262442
89	0.05445455209
90	0.05351094921
91	0.05264074008
92	0.0516746236
93	0.05076319783
94	0.04969982584
95	0.04901749091
96	0.04830144887
97	0.04774127439
98	0.04716982012
99	0.04645964763
100	0.04576590246
101	0.04515878522
102	0.0445259704
103	0.04388298708
104	0.04329838675
105	0.04286819185
106	0.04206711347
107	0.04155459855
108	0.04096524007
109	0.04027200763
110	0.03976611255
111	0.03915043943
112	0.03862425335
113	0.03825007122
114	0.03784252477
115	0.0374330855
116	0.03710538845
117	0.03670517041
118	0.03631339132
119	0.03590352679
120	0.03549860876
121	0.03507751671
122	0.03472944517
123	0.03433178706
124	0.03398812565
125	0.03369755074
126	0.03341419641
127	0.03311092401
128	0.03280316885
129	0.03250660393
130	0.03222248234
131	0.03183523798
132	0.03157197182
133	0.03127864932
134	0.03098089815
135	0.03065306494
136	0.03034845905
137	0.03005678657
138	0.02979643421
139	0.02955542019
140	0.02930807778
141	0.02905810872
142	0.02877656278
143	0.02853601508
144	0.0282803986
145	0.02796167989
146	0.02773707124
147	0.02748443283
148	0.02725122266
149	0.02704130313
150	0.02682332475
151	0.02664833902
152	0.02642028352
153	0.02620643599
154	0.02597691879
155	0.02576893229
156	0.02559210095
157	0.0253987696
158	0.02520376544
159	0.02501623238
160	0.02479177248
161	0.02459124132
162	0.02441808534
163	0.02424081173
164	0.02407021388
165	0.02389859219
166	0.02366918429
167	0.02349789231
168	0.02332900768
169	0.02319741744
170	0.02304020592
171	0.02288551987
172	0.02274237919
173	0.02260169595
174	0.02245936698
175	0.02232546096
176	0.02216256794
177	0.02201996148
178	0.02186879118
179	0.02173005545
180	0.0215541852
181	0.02144581932
182	0.02130258666
183	0.02115421855
184	0.021034498
185	0.02087597703
186	0.02072779614
187	0.02058087564
188	0.02044064273
189	0.02032310179
190	0.02021519487
191	0.0200942614
192	0.01998462314
193	0.01985485291
194	0.01972560459
195	0.01960829463
196	0.01950578398
197	0.01937936857
198	0.01929368376
199	0.01917380637
200	0.01906129839
201	0.01892742367
202	0.01882042681
203	0.01870484622
204	0.0186046372
205	0.01849727887
206	0.01839208114
207	0.01828542708
208	0.01817034805
209	0.01806473501
210	0.01798401813
211	0.0178768831
212	0.01777837275
213	0.01769041359
214	0.01759833147
215	0.01749076548
216	0.01741426546
217	0.01734512498
218	0.01720903597
219	0.0171153301
220	0.01700734128
221	0.01692409905
222	0.01682628356
223	0.01671779317
224	0.01663088324
225	0.01652505917
226	0.01645096906
227	0.01636043271
228	0.01626252435
229	0.01618160363
230	0.01611120727
231	0.01604208674
232	0.01597024087
233	0.0158923207
234	0.01582381933
235	0.01575213033
236	0.01567838191
237	0.01559881329
238	0.01553368797
239	0.01544098557
240	0.0153825478
241	0.01530047202
242	0.01524005097
243	0.0151725319
244	0.01510756202
245	0.01504368019
246	0.0149757131
247	0.01489807211
248	0.01482631053
249	0.01476360274
250	0.01469978268
251	0.01464760108
252	0.01456646662
253	0.01449439174
254	0.01443979019
255	0.01437777486
256	0.01431655888
257	0.01424982684
258	0.0141879569
259	0.01413111198
260	0.01406879784
261	0.01400031474
262	0.01394021157
263	0.01388143911
264	0.01382729003
265	0.01377615267
266	0.01371998415
267	0.01365791763
268	0.01360775807
269	0.01354278824
270	0.01349828088
271	0.01344632974
272	0.01338932475
273	0.01333876029
274	0.01327751046
275	0.01322866649
276	0.01318660165
277	0.01314067477
278	0.01309267691
279	0.01303074633
280	0.01297125417
281	0.01292191822
282	0.01285993634
283	0.0128080104
284	0.0127471735
285	0.01269625333
286	0.01263034231
287	0.01258966856
288	0.0125504619
289	0.01250410218
290	0.01245820029
291	0.01240175456
292	0.01235718932
293	0.01231473395
294	0.01226810032
295	0.01222649271
296	0.01218511422
297	0.01214917624
298	0.01210102924
299	0.01205260445
300	0.01201736539
301	0.01197358263
302	0.01193067127
303	0.01188696291
304	0.01184726786
305	0.01181030298
306	0.01176184747
307	0.01171735407
308	0.01167863926
309	0.01163169302
310	0.01158056943
311	0.01154059096
312	0.01149193793
313	0.01145414899
314	0.01141943282
315	0.01137663837
316	0.01133588473
317	0.01129803964
318	0.01125814262
319	0.01120603214
320	0.01116328611
321	0.0111260595
322	0.01107798902
323	0.01104678438
324	0.01101242888
325	0.01097621793
326	0.01093958938
327	0.01090710282
328	0.01086769197
329	0.01083163814
330	0.01079195579
331	0.01075821672
332	0.01072264876
333	0.01067927413
334	0.01063731681
335	0.01058958139
336	0.01055310278
337	0.01051567544
338	0.01048267147
339	0.01044943082
340	0.01041294936
341	0.01037445139
342	0.01032336339
343	0.0102916342
344	0.01026213895
345	0.01023303321
346	0.01019952531
347	0.01016848006
348	0.0101369112
349	0.01010633229
350	0.01007288516
351	0.0100470756
352	0.01000933309
353	0.009978018796
354	0.009949830936
355	0.009902369382
356	0.009865879549
357	0.00983343869
358	0.00980896743
359	0.009775446573
360	0.009751383889
361	0.009727107921
362	0.009699599748
363	0.009672095314
364	0.009644879005
365	0.00961427394
366	0.009577870728
367	0.009547789584
368	0.009517684329
369	0.009488651074
370	0.009460488989
371	0.009434152662
372	0.009406539552
373	0.009377540794
374	0.009351829527
375	0.009325025567
376	0.009291729915
377	0.009266191
378	0.009227662256
379	0.009200727671
380	0.009169300085
381	0.009145197907
382	0.009118907939
383	0.009095605909
384	0.009076296869
385	0.009052452285
386	0.009025893938
387	0.008998525397
388	0.008973750922
389	0.00894746528
390	0.008922393596
391	0.008882066048
392	0.008856703271
393	0.008832516722
394	0.008811890883
395	0.008784382124
396	0.008755972312
397	0.008733294053
398	0.008705339383
399	0.008682275149
400	0.008659399412
401	0.008635923987
402	0.008612504989
403	0.008585758434
404	0.008564479611
405	0.008541138117
406	0.008515657
407	0.008492418291
408	0.008472679574
409	0.008450367624
410	0.008426402887
411	0.008403892724
412	0.008380899416
413	0.008357719937
414	0.008319638791
415	0.008300319136
416	0.00828056018
417	0.008263826161
418	0.008244115319
419	0.008220153603
420	0.008201030131
421	0.008175682641
422	0.008153272113
423	0.008136214835
424	0.008115756262
425	0.008092846393
426	0.008070042244
427	0.0080489775
428	0.00803303438
429	0.008013707153
430	0.007995299235
431	0.007972682902
432	0.007950162903
433	0.007931755012
434	0.007911180667
435	0.007889725032
436	0.007869870524
437	0.007850780719
438	0.007836237538
439	0.007817551311
440	0.007800105615
441	0.007783898769
442	0.007760776656
443	0.007742660303
444	0.007724199851
445	0.007705735727
446	0.007688861851
